localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
barrios unidos;2015;18 a 19;Mujer;0;Joven;;
barrios unidos;2015;20 a 24;Mujer;0;Joven;;
barrios unidos;2015;25 a 29;Mujer;1;Adulto;;
barrios unidos;2015;30 a 34;Mujer;0;Adulto;;
barrios unidos;2015;35 a 39;Mujer;0;Adulto;;
barrios unidos;2015;40 a 44;Mujer;0;Adulto;;
barrios unidos;2015;45 a 49;Mujer;0;Adulto;;
barrios unidos;2015;50 a 54;Mujer;0;Adulto;;
barrios unidos;2015;55 a 59;Mujer;0;Adulto;;
barrios unidos;2015;60 a 64;Mujer;0;Adulto Mayor;;
barrios unidos;2015;65 a 69;Mujer;0;Adulto Mayor;;
barrios unidos;2015;70 a 74;Mujer;0;Adulto Mayor;;
barrios unidos;2015;75 a 79;Mujer;0;Adulto Mayor;;
barrios unidos;2015;80 y más;Mujer;0;Adulto Mayor;;
